;Aca_cat;Aeq_tet;Ana_uro;Api_aga;Api_reg;Ast_bim;Bat_ran;Bra_bee;Bra_bre;Bra_sp.1;Bra_sp.2;Bra_sp.3;Bra_sp.4;Bry_cau;Bry_sp.;Bun_cor;Cal_cal;Car_str;Cha_eth;Cha_sp.;Cha_zeb;Cop_arn;Cor_mel;Cre_ret;Cre_sax;Cre_spi;Cur_cry;Den_epa;Den_sp.;Eig_sp.;Eig_tri;Far_ama;Gla_con;Gym_gca;Gym_gco;Gym_gpa;Gym_sp.;Hel_mar;Hem_bel;Hem_gei;Hem_oce;Hem_rho;Hem_rod;Hem_sp.;Hem_uni;Hop_mal;Hyp_ben;Hyp_het;Hyp_lep;Igu_rac;Itu_ama;Itu_sp.;Kno_vic;Lai_str;Mas_aso;Meg_tho;Mic_bil;Mic_wei;Moe_col;Moe_com;Mon_oli;Nan_nit;Nan_tae;Nan_tri;Pim_sp.;Pot_eig;Pyr_bre;Rha_mue;Rha_que;Rha_sp.;Rin_has;Sat_jur;Ste_mac;Syn_mar;Tet_wal;land_use
UA089;0;1;1;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;11;0;14;0;0;0;0;0;0;0;5;1;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;Pasture
UA090;0;0;0;0;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191;0;0;0;0;0;0;0;0;0;78;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;Pasture
UA091;0;1;0;0;18;12;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;Pasture
UA092;0;2;0;0;0;0;0;0;1;0;0;0;0;6;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;0;0;0;0;6;3;1;0;0;0;0;0;0;0;5;0;0;0;23;0;0;0;0;38;0;0;0;0;1;0;0;0;Pasture
UA093;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;136;0;0;0;0;1;0;10;4;0;0;0;0;0;0;15;0;0;0;12;0;6;0;0;2;0;0;0;0;0;0;0;0;Pasture
UA094;0;24;0;15;3;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;13;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;329;0;0;0;0;0;0;0;0;0;23;0;0;0;1;0;0;0;0;28;0;0;0;0;0;0;0;0;Pasture
UA095;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;86;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;65;3;0;0;1;0;0;0;0;0;7;0;0;0;Pasture
UA096;0;7;4;0;39;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;55;0;0;2;4;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6;0;0;0;0;1;0;114;0;0;3;0;0;0;0;0;0;37;1;0;0;0;2;2;0;0;5;0;0;0;0;0;0;0;0;Pasture
UA097;0;2;10;2;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;23;0;0;0;0;18;1;0;0;2;0;0;0;0;0;0;0;0;Pasture
UA098;0;4;26;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;5;0;0;8;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;23;0;0;0;12;0;0;0;0;0;0;0;0;Pasture
UA099;0;7;10;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;1;2;0;0;0;0;0;0;0;0;0;18;0;2;1;0;0;0;0;0;0;8;0;0;0;0;0;2;0;0;63;0;0;0;0;0;0;0;0;Pasture
UA100;0;18;7;94;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;5;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;8;0;0;0;0;2;0;35;1;0;3;0;0;0;0;0;0;48;0;0;0;0;41;2;0;0;44;0;0;0;0;0;0;0;0;Forest
UA101;0;18;8;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;32;0;0;0;0;0;0;0;0;0;0;0;2;0;7;0;0;83;0;0;0;0;0;0;0;0;Pasture
