"","X","Y","ele","time","magvar","geoidheight","name","cmt","desc","src","link1_href","link1_text","link1_type","link2_href","link2_text","link2_type","sym","type","fix","sat","hdop","vdop","pdop","ageofdgpsdata","dgpsid","DistNeigh"
"86",-59.911689,-1.443253,59.39588,"03/09/2022 20:54",NA,NA,"A015A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,80.1669880718659
"87",-59.911183,-1.443374,58.91623,"03/09/2022 20:57",NA,NA,"A015A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,100.523532383829
"88",-59.910762,-1.443559,57.58119,"03/09/2022 21:01",NA,NA,"A015A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,95.902074834775
"89",-59.910336,-1.443682,56.96993,"03/09/2022 21:05",NA,NA,"A015A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,48.3913814551375
"90",-59.633897,-1.681638,51.92968,"08/10/2022 14:17",NA,NA,"A017A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,270.323163395177
"91",-59.634083,-1.681197,52.01908,"08/10/2022 14:22",NA,NA,"A017A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,308.193847577463
"92",-59.633985,-1.680869,51.63012,"08/10/2022 14:27",NA,NA,"A017A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,294.738407913793
"93",-59.63399,-1.680431,51.90001,"08/10/2022 14:32",NA,NA,"A017A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,298.679971449589
"94",-59.633946,-1.679956,51.32468,"08/10/2022 14:38",NA,NA,"A017A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,306.309462308907
"95",-59.633849,-1.679557,52.58001,"08/10/2022 14:44",NA,NA,"A017A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,313.405942156325
"96",-59.676655,-1.614614,59.58561,"17/09/2022 18:21",NA,NA,"A018A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1395.31110513221
"97",-59.676617,-1.614114,58.48769,"17/09/2022 18:23",NA,NA,"A018A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1378.90875185899
"98",-59.676633,-1.613547,57.91635,"17/09/2022 18:27",NA,NA,"A018A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1369.2931234405
"99",-59.676661,-1.613049,57.67555,"17/09/2022 18:30",NA,NA,"A018A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1364.71505064011
"100",-59.676747,-1.612571,57.0892,"17/09/2022 18:34",NA,NA,"A018A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1368.96589181876
"101",-59.676737,-1.61206,57.25056,"17/09/2022 18:37",NA,NA,"A018A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1364.48233492147
